Subject Name,Subject Code,Periods per Week,Is Lab,Credits,Classes
Mathematics I,MATH101,5,No,4,"First Year A,First Year B,First Year C"
Physics I,PHY101,4,No,3,"First Year A,First Year B,First Year C"
Chemistry I,CHEM101,3,No,3,"First Year A,First Year B,First Year C"
Physics Lab,PHY101L,2,Yes,1,"First Year A,First Year B,First Year C"
Chemistry Lab,CHEM101L,2,Yes,1,"First Year A,First Year B,First Year C"
English Communication,ENG101,3,No,2,"First Year A,First Year B,First Year C"
Programming Fundamentals,CS101,4,No,3,"First Year A,First Year B"
Programming Lab,CS101L,2,Yes,1,"First Year A,First Year B"
Mathematics II,MATH201,5,No,4,"Second Year A,Second Year B,Second Year C"
Advanced Physics,PHY201,4,No,3,"Second Year A,Second Year B"
Data Structures,CS201,4,No,3,"Second Year A,Second Year B"
Data Structures Lab,CS201L,2,Yes,1,"Second Year A,Second Year B"